year,longitude,latitude,where_coordinates,best,deaths_civilians
1995,66.2258,35.8585,Taqche village,8,0
1995,68.948776,35.480335,Malkhan village,87,0
1995,65.936401,35.911579,Jarghan village,2,0
1995,65.8796,35.9084,Negala village,1,0
1995,65,33,Afghanistan,3,0
1995,67.27024,36.123227,Koi Tash village,24,0
1995,69.026974,35.322153,Salang tunnel north entrance,9,0
1995,69.37296,35.634858,Andarab district,2,0
1995,67.3106,35.838093,Qarai village,8,0
1995,68.5776,36.9719,Aq Tepa village,2,0
1995,69.038889,35.315833,Salang pass,1,0
1995,62.1474,33.302944,Shindand town,200,0
1995,69.1334,34.4217,Gul Bagh village,8,2
1995,69.1646,34.3995,Chahar Asyab town,26,0
1995,69.1171,34.4234,Rishkhor village,14,0
1995,69.073766,34.385312,Chahar Asyab district,102,0
1995,62.258835,33.390811,Shindand airbase,200,0
1995,62.5883,32.7506,Farah Rod village,25,0
1995,62.5,32.5,Farah province,350,0
1995,72,36.75,Badakhshan province,22,0
1995,62.753066,32.771851,Bala Buluk district,50,0
1995,68.866179,34.395614,Maydan Shahr town,18,0
1995,65.2613,34.4648,Kandiwal village,6,0
1995,65.415668,34.745883,Chaghcharan district,5,0
1995,62.5,31,Nimroz province,200,0
1995,64.47606,32.468709,Naw Zad district,200,0
1995,63.266,31.984,Dilaram sub-district,3,0
1995,61.862839,30.959629,Zaranj town,24,0
1995,64.170792,34.215393,Dahak village,4,0
1995,64,31,Hilmand province,6,0
1995,64.368097,33.492041,Taywara district,12,0
1995,63.426777,32.164345,Dilaram town,21,0
1995,64.108889,29.501944,Chotu village,53,0
1995,69.180221,34.210415,Muhammad Agha district,1,0
1995,68.649757,34.526543,Sanglakh village,12,0
1995,68.93747,34.384152,Lalandar area,5,0
1995,69.172896,34.417825,Khairabad village,8,0
1995,69.383834,34.422663,Band-e Ghazi spot,65,0
1995,69.217222,34.564444,Kabul international airport,11,0
1995,69.267593,34.433491,Yakhdara village,35,0
1995,69.230121,34.455979,Qal`ah-ye Khord Kabul village,5,0
1995,69.352234,34.50251,Butkhak village,9,0
1995,69.347777,34.519722,Pol-e Charkhi prison,20,0
1995,69.25,34,Logar province,10,0
1996,69.1646,34.3995,Chahar Asyab town,12,0
1996,69.162796,34.531094,Kabul city,9,2
1996,68.866179,34.395614,Maydan Shahr town,20,0
1996,61.8343,30.4374,Mir Abad Shair Agha village,1,0
1996,67.996501,33.220631,Qarabagh district (Ghazni),12,0
1996,69.1171,34.4234,Rishkhor village,11,2
1996,62.5,31,Nimroz province,5,0
1996,63.67462,33.582231,Saghar district,24,0
1996,69.172896,34.417825,Khairabad village,7,0
1996,64.170792,34.215393,Dahak village,30,0
1996,62,34.5,Hirat province,78,0
1996,65,34,Ghor province,81,0
1996,69.416667,34.5,Kabul province,6,0
1996,70.914272,34.95455,Pech district (Manogai),40,0
1996,65,33,Afghanistan,18,0
1996,61.158105,34.179688,Ghoryan district,14,0
1996,65.250935,34.519516,Chaghcharan town,32,0
1996,69.25,34,Logar province,1,0
1996,69.3037,34.2721,Aynak village,30,0
1996,69.1334,34.4217,Gul Bagh village,5,0
1996,62.046761,30.283649,Chahar Burjak town,2,0
1996,69.33333,33.666667,Paktya province,9,0
1996,69.18,32.941111,Urgun town,7,0
1996,62.10307,30.206999,Chahar Burjak district,7,0
1996,68.74179,34.36848,Dadil village,1,0
1996,69.04832,32.871962,Tabut village,11,0
1996,70.076616,33.530101,Bak district,6,0
1996,64.368097,33.492041,Taywara district,7,0
1996,69.633808,33.81524,Lija Mangal district,9,0
1996,68.941826,34.514187,Arghandehe Pain village,2,0
1996,69.624499,34.109043,Azra district,20,0
1996,69.770149,34.281645,Hisarak district,24,0
1996,70.45575,34.428844,Jalalabad town,29,0
1996,69.715,34.3018,Do Ab village,6,0
1996,69.737991,34.407597,Sare Jegdalek village,20,0
1996,70.183333,34.783333,Laghman province,12,0
1996,69.760047,34.589615,Surobi town,50,0
1996,69.347777,34.519722,Pol-e Charkhi prison,150,0
2002,63.596959,32.642115,Gulistan district,10,0
2003,66.487862,31.178164,Lowy Kariz village,3,0
2003,65.83489,32.00539,Almesh village,8,0
2003,65.128174,33.145367,Lejay village,17,0
2003,67.390181,31.725736,Atghar district,5,0
2003,63.426777,32.164345,Dilaram town,1,0
2003,66.4002,31.00568,Spin Boldak town,6,0
2003,63.469625,35.462075,Murghab district,2,0
2003,63.297638,35.625362,Akazai village,42,0
2003,62.977001,35.384499,Deh-i-Tor-i-Shaykh village,13,0
2003,65.6211,32.3507,Baghe Agha village,15,0
2003,64.570518,31.82004,Greshk town,1,0
2003,61.838348,31.308072,Kang district,3,0
2003,66.575317,31.177532,Mullah Wali Waleh village,2,0
2003,69.18,32.941111,Urgun town,1,0
2003,67.03305,31.841067,Sur Ghar mountain,6,0
2003,64.875154,31.480806,Southern Afghanistan,1,0
2003,66.261913,33.423961,Gizab district,5,0
2003,66.794,32.6286,Daychopan town,4,0
2003,69.2634,32.5302,Shkin village,3,1
2003,66.43049,30.95761,Wesh village,1,0
2003,69.918411,33.335091,Khost town,3,0
2003,69.162796,34.531094,Kabul city,3,0
2003,66.488106,32.156467,Mirani village,2,0
2003,66.552678,31.519681,Arghistan district,7,0
2003,66.38269,31.093597,Nimakay village,7,0
2003,66.476692,31.073195,Popalzai village,38,0
2003,69.549621,33.394734,Mountains north of Khost-Gardez road,1,0
2003,67.3056,32.212,Sorkhakan village,1,0
2003,67.805706,31.939173,Bari Ghar mountains,1,0
2003,65.195661,32.043898,Ghorak district,5,0
2003,69.883334,33.383334,Khost province,11,0
2003,66.479645,31.01947,Shero Obeh village,2,0
2003,67.25,32.25,Zabul province,1,0
2003,64.608526,31.829363,Nahri Sarraj district (Greshk),6,0
2003,65.689704,32.180628,Petawi mountain,1,0
2003,65.637068,32.426877,Nesh village,3,0
2003,65.61705,31.428863,Muqam Kalay village,1,0
2003,65.617926,32.404669,Torghar mountains (Nesh district),6,0
2003,65.643074,31.583123,Dand sub-district,1,0
2003,64.941299,31.553299,Malangan village,1,0
2003,63.298024,30.432057,Dishu town,7,1
2003,69.395751,32.975216,Gayan district,1,0
2003,69.3,32.75,Barmal town,22,0
2003,68.4027,31.7936,Turwo village,3,0
2003,68.835938,33.689663,Karaiz area,5,1
2003,66.690348,32.997793,Khas Uruzgan district,2,0
2003,66.688212,32.612577,Daychopan district,9,0
2003,66.726,32.635,Dawzi village,10,0
2003,66.668702,32.569779,Mari mountain,6,0
2003,67.4156,32.5216,Shahjoy town,6,0
2003,66,32.83333,Uruzgan province,5,0
2003,66.045385,32.112391,Shah Wali Kot district,4,0
2003,66.051232,30.179475,Shorabak district,2,2
2003,67.253177,31.447533,Maruf district,4,0
2003,66.169753,30.987916,Spin Boldak district,15,0
2003,67.403793,32.140392,Rughani village,12,0
2003,65.7425,32.3039,Daylanor village,11,2
2003,67.0738,32.8395,Kakar town,2,0
2003,64.33329,31.600697,Bowlan village,2,0
2003,67.084562,32.628427,Arghandab district (Zabul),4,0
2003,65.5743,32.9382,Shahidi Hossas village,4,0
2003,65.7181,32.9811,Darwan village,10,0
2003,67.181449,32.860043,Kakar sub-district,10,0
2003,69.250868,32.481709,Afghanistan-Pakistan border (Paktika province),7,0
2003,64.923544,32.115474,Sangin-Kajaki road (Sangin district),4,0
2003,67.633333,32.716667,Gelan district,10,9
2003,70.45575,34.428844,Jalalabad town,4,0
2003,66.516111,30.990556,Khaima Tana village,5,0
2004,69.776604,33.318041,Mando Zayi district,2,1
2004,65.705795,31.611795,Kandahar town,4,4
2004,66.051232,30.179475,Shorabak district,3,0
2004,64,31,Hilmand province,2,0
2004,62.940045,31.749897,Khash Rod district,4,0
2004,67.424297,32.527087,Kandahar-Ghazni highway (Shahjoy district),1,0
2004,67.3747,32.4779,Qara Baghi village,3,0
2004,65.75,31,Kandahar province,4,0
2004,65.5743,32.9382,Shahidi Hossas village,5,0
2004,65.465693,32.584696,Dihrawud district,3,0
2004,69.918411,33.335091,Khost town,1,0
2004,65.038714,32.48418,Kajaki district,1,0
2004,69.883334,33.383334,Khost province,3,0
2004,70.190835,33.383675,Tere Zayi district (Alisher),5,0
2004,67.75,33.33333,Ghazni province,1,0
2004,67.253177,31.447533,Maruf district,4,0
2004,66.905121,32.10368,Qalat town,2,0
2004,65.488876,32.969425,Yakhdan village,2,0
2004,65.474153,32.920909,Shahidi Hossas district (Charchino),5,0
2004,65.457451,32.622501,Dihrawud town,1,0
2004,67.25,32.25,Zabul province,1,0
2004,64.994325,32.120374,Sangin district,6,0
2004,65.873313,32.62675,Tirin Kot town,3,0
2004,62.5,31,Nimroz province,8,0
2004,66.718156,32.329205,De Tangi Ghar mountain,2,0
2004,69.491204,33.15664,Spera district,2,0
2004,65.6653,31.61449,Sarpuza village,1,0
2004,66.690348,32.997793,Khas Uruzgan district,2,0
2004,65.174945,31.12796,Panjwayi district,2,0
2004,67.108074,31.928521,Shinkay district,3,0
2004,66.045385,32.112391,Shah Wali Kot district,3,0
2004,67.394208,32.495924,Shahjoy district,5,0
2004,64.7417,32.3052,Dah Zor Sufla village,1,0
2004,66.5131,32.174,Mizan village,2,0
2004,68.326455,32.095253,Waza Khwa district,4,1
2004,67.4925,32.6018,Hassan Kariz Naw Abad village,1,0
2004,64.680084,31.788546,Yakhcha village,3,0
2004,66.4002,31.00568,Spin Boldak town,5,0
2004,67.03305,31.841067,Sur Ghar mountain,8,0
2004,64.772322,32.350174,Musa Qala town,11,0
2004,67.151789,31.918721,Shinkay district,3,0
2004,67.4156,32.5216,Shahjoy town,6,0
2004,66.335951,32.378207,Miya Nishin district,10,0
2004,66.688212,32.612577,Daychopan district,8,0
2004,66.508063,32.178461,Mizan district,3,0
2004,67.157333,32.665379,Akhtar village,1,0
2004,71.540722,35.266478,Nari district,2,0
2004,66.987372,32.511956,Arghandab district (Zabul),3,1
2004,62.923611,32.553611,Chakab village,6,0
2004,64.608526,31.829363,Nahri Sarraj district (Greshk),1,0
2004,65.04411,33.016315,Baghran district,11,0
2004,64.513,32.2223,Mama Karaiz village,3,0
2004,65.053246,32.280746,Kajaki town,1,0
2004,71.437913,35.000833,Dangam district,5,0
2004,62.374238,32.577855,Between Farah town and Fara Rod village,1,0
2004,64.47606,32.468709,Naw Zad district,4,0
2004,63.879346,30.15106,Reg district (Hilmand),2,0
2004,69.958707,33.214845,Gurbuz district,3,0
2004,66.8925,32.398611,Takatu village,1,0
2004,67.633333,32.716667,Gelan district,2,0
2004,69.241591,33.601338,Gardez district,1,0
2004,64.8964,31.6782,Khak Chopan village,6,0
2004,67.673602,32.499925,Rahman Kala village,2,0
2004,67.181449,32.860043,Kakar district,5,0
2004,67.3629,32.259197,Bazugay village,1,0
2004,69.162796,34.531094,Kabul city,8,8
2004,70.888695,34.974796,Weradesh village,26,0
2004,66.076782,31.655219,Between Kandahar city and Tarnak wa Jaldak district,1,0
2004,64.131675,30.852922,Garmser district,4,0
2004,66.530991,31.864296,Diwalak village,2,0
2004,67.6331,32.2123,Naw Bahar town,5,0
2004,67.567827,32.217008,Naw Bahar district,8,0
2004,65.63,32.103889,Bum village,2,0
2004,67.3414,31.321493,Wal village,21,0
2004,63.0796,30.1889,Rabat village,2,0
2004,64.3636,31.471489,Between Lashkar Gah town and Nawa-i Barak Zayi district,1,0
2004,64.091336,31.270823,Nawa-i-Barak Zayi district,2,0
2004,69.365335,33.469034,Sato Kandaw mountain,2,0
2004,64.199166,31.854166,Camp Bastion (Shorab),9,0
2004,67.528381,32.154018,Shahak village,6,0
2004,67.92984,31.639433,Afghanistan-Pakistan border (Zabul province),27,0
2004,66.2749,31.1781,Spingay village,1,0
2004,66.193288,32.698113,Between Tirin Kot town and Khas Uruzgan district,7,0
2004,65.500902,32.005213,Khakrez district,1,0
2004,65.158015,31.072875,Panjwayi district,2,0
2004,65.181021,30.120517,Reg district (Kandahar),4,0
2004,65.444794,32.956692,Keshay village,2,0
2004,71.3433,35.0957,Dab village,5,3
2004,68.6384,32.9623,Balo Godali village,5,0
2004,64.99308,31.5819,Maywand district,4,0
2004,65.118611,32.3225,Kajaki Dam,7,0
2004,65.303291,32.923595,Yawmanay village,1,0
2004,70.45575,34.428844,Jalalabad town,2,2
2004,63.426777,32.164345,Dilaram town,3,0
2004,71.133333,34.95,Kunar province,1,0
2004,66.7771,32.3634,Surkh Sang village,4,0
2004,67.6742,32.1597,Sra Surkh village,2,0
2004,64.99207,31.645522,Kandahar-Hirat highway (Maywand district),5,0
2004,62.947892,32.247985,Bakwa plains,1,0
2004,67.357401,31.73506,Atghar town,4,0
2005,62.258835,33.390811,Shindand airbase,1,0
2005,71.1104,34.8184,Nawabad village,1,0
2005,65.465693,32.584696,Dihrawud district,7,0
2005,63.972829,32.109373,Washer district,7,0
2005,71.5338,35.2842,Pashangar village,1,0
2005,66,32.83333,Uruzgan province,2,0
2005,65.347776,32.785239,Khuni Mandeh valley,4,2
2005,64.99308,31.5819,Maywand district,1,0
2005,64.737566,32.465816,Musa Qala district,2,0
2005,66.4002,31.00568,Spin Boldak town,3,1
2005,69.918411,33.335091,Khost town,2,0
2005,63.129694,29.889044,Dishu district,10,0
2005,69.883334,33.383334,Khost province,2,1
2005,70.190835,33.383675,Tere Zayi district (Alisher),6,0
2005,70.45575,34.428844,Jalalabad town,1,0
2005,69.75,36.66667,Takhar province,2,0
2005,69.395751,32.975216,Gayan district,3,1
2005,66.007358,32.080455,Shah Wali Kot district,6,0
2005,66.508063,32.178461,Mizan district,1,0
2005,68.326306,32.252137,Waza Khwa district,6,1
2005,64.7386,31.8768,Mirmandaw village,2,0
2005,71.146812,34.87455,Asadabad town,6,0
2005,70.924465,34.900056,Korangal valley,18,0
2005,69.04844,34.17106,Shakar Qala village,4,0
2005,62.753066,32.771851,Bala Buluk district,1,0
2005,61.252023,33.012288,Anar Dara district,4,0
2005,65.75,31,Kandahar province,2,0
2005,67.2006,32.30759,Nawrak village,3,0
2005,64,31,Hilmand province,1,0
2005,66.905121,32.10368,Qalat town,1,0
2005,69.376801,33.453563,Shwak district,12,0
2005,65.457451,32.622501,Dihrawud town,1,0
2005,66.688212,32.612577,Daychopan district,11,0
2005,65.409386,32.820188,Chambarak pass,2,0
2005,69.960555,33.366944,FOB Salerno,12,0
2005,69.371819,32.97821,Gayan town,8,0
2005,67.039688,32.554779,Sayagaz (Arghandab) town,5,0
2005,65.705795,31.611795,Kandahar town,2,1
2005,65.181021,30.120517,Reg district (Kandahar),3,0
2005,67.390181,31.725736,Atghar district,6,0
2005,65.647486,31.756763,Arghandab district (Kandahar),2,0
2005,65.873313,32.62675,Tirin Kot town,2,0
2005,67.25,32.25,Zabul province,3,0
2005,71.111224000000007,34.921188,Asadabad-Dara-i-Pech road (Kunar province),3,0
2005,65.7798,31.7823,Shah Wali Kot village,2,0
2005,71.081975,34.998476,Wata Pur district,1,0
2005,67.181449,32.860043,Kakar district,3,0
2005,70.140715,34.903852,Mil valley,25,8
2005,69.27614,32.713324,Barmal district,3,0
2005,67.151789,31.918721,Shinkay district,2,0
2005,68.685989,33.463093,Kandar village,1,1
2005,69.776604,33.318041,Mando Zayi district,1,0
2005,64.608526,31.829363,Nahri Sarraj district (Greshk),7,0
2005,66.169753,30.987916,Spin Boldak district,5,0
2005,66.987372,32.511956,Arghandab district (Zabul),11,0
2005,67.394208,32.495924,Shahjoy district,1,0
2005,65.972462,32.437563,Kandahar-Uruzgan highway,3,0
2005,69.192429,32.97518,Urgun district,1,0
2005,64.33329,31.600697,Bowlan village,1,0
2005,66.5131,32.174,Mizan village,2,0
2005,66.723663,31.974191,Jaldak locality,4,0
2005,67.633333,32.716667,Gelan district,1,1
2005,69.2634,32.5302,Shkin village,2,0
2005,65.89529,32.1602,Karezak village,2,0
2005,69.487192,32.971113,Lawara area,4,0
2005,69.9118,33.543516,Sabari district,1,0
2005,66.335951,32.378207,Miya Nishin district,26,0
2005,67.272903,32.566521,Dawlatkhel village,3,0
2005,62.897108,32.557169,Kandahar - Hirat road (Farah province),2,0
2005,63.861445,31.625941,Nad Ali district (Marja),3,0
2005,67.32766,32.45013,Gajoy village,9,0
2005,62.359647,33.244188,Shindand district,1,0
2005,68.131147,32.563758,Dila district (Koshamand),2,0
2005,69.99947,35.035862,Dawlat Shah district,4,0
2005,65.280426,32.738861,Tagaw village,15,3
2005,65.703852,32.381923,Nesh district,2,0
2005,71.118319,34.750462,Sirkanay district,4,0
2005,64.994325,32.120374,Sangin district,2,0
2005,64.570518,31.82004,Greshk town,2,0
2005,70.9455,34.8877,Chichal village,17,17
2005,68.660065,32.924506,Yahya Khel district,6,0
2005,66.418528,32.313372,Miya Nishin-Mizan border,5,0
2005,63.879346,30.15106,Reg district (Hilmand),2,0
2005,64.05,29.433333,Baramcha village,6,0
2005,66.065186,31.195997,Robat Mil village,3,0
2005,66.885696,32.726498,Chinaran village,4,0
2005,66.174789,30.170891,Karez village,12,0
2005,65.397591,31.640454,Zhari district,2,1
2005,64.7836,32.0036,Qaleh-ye Gaz village,2,0
2005,66.552678,31.519681,Arghistan district,3,0
2005,65.474153,32.920909,Shahidi Hossas district (Charchino),4,0
2005,66.520153,31.908849,Tarnak Wa Jaldak district,10,0
2005,67.333786,31.981092,Hokumate Shinkay town,6,0
2005,69.910444,33.791219,Dand Wa Patan district,1,0
2005,71.314533,35.483273,Kamdesh district,3,0
2005,70.833333,35.3,Nuristan province,1,0
2005,65.4444,32.7468,Keshay village,2,0
2005,68.794,34.4472,Kowt-e Ashrow village,1,0
2005,65.438,32.9457,Menar village,1,0
2005,68.416702,33.549999,Ghazni town,1,0
2005,66.7372,32.5336,Marah village,3,3
2005,67.096662,32.487406,Karatu locality,3,0
2005,69.162796,34.531094,Kabul city,3,1
2005,67.897543,32.326913,Nawa district,1,0
2005,65,33,Afghanistan,4,0
2005,66.030379,32.683043,Marabad locality,6,0
2005,65.500902,32.005213,Khakrez district,4,0
2005,64.782297,31.735041,Kamparak area,1,0
2005,67.4925,32.6018,Hassan Kariz Naw Abad village,2,0
2005,68.5178,33.4083,Nazar Khan village,2,1
2005,71.133333,34.95,Kunar province,1,0
2005,65.3679,32.8448,Seya Sang village,2,0
2005,67.75,33.33333,Ghazni province,3,0
2005,67.528381,32.154018,Shahak village,6,0
2005,66.2608,32.92962,Chora district,5,0
2005,65.195661,32.043898,Ghorak district,7,0
2005,64.377396,31.579996,Lashkar Gah town,1,1
2005,68.476915,32.854693,Zarghun Shahr district,1,0
2005,69.25,34,Logar province,1,0
2005,67.424297,32.527087,Kandahar-Ghazni highway (Shahjoy district),4,0
2005,65.089721,33.076343,Baghran town,1,0
2005,66.7396,32.84419,Lande Sar Tangi village,8,0
2005,66.667856,32.412373,Shoy Rod stream,4,0
2005,67.783463,32.945127,Muqur district (Ghazni),5,1
2005,70.310089,34.232594,Sara Kala (2) village,1,1
2005,65.643074,31.583123,Dand sub-district,1,0
2005,65.40409,32.90019,Saraw village,9,0
2005,66.573952,31.909057,Kabul-Kandahar highway (Tarnak Wa Jaldak district),7,0
2005,69.218387,34.369083,Musayi district,3,0
2005,66.479645,31.01947,Shero Obeh village,1,0
2005,66.264329,33.402487,Gizab district,6,2
2005,69.216998,32.493212,Shakin sub-district,2,0
2005,65.5305,33.0522,Bagh Khoshak village,4,0
2005,64.47606,32.468709,Naw Zad district,2,1
2005,71.135277,34.8525,Camp Wright,1,0
2005,65.379562,32.160885,Lam village,6,0
2005,64.734277,31.698933,Hirat-Kandahar highway (Nahri Sarraj district),2,1
2005,69.047267,32.751723,Sarobi district,4,0
2005,69.26908,32.51942,Angor Ada border post (Afghan side),28,0
2005,67.76969,31.822957,Shamulzayi district,2,0
2005,67.253177,31.447533,Maruf district,2,0
2005,65.434295,31.557203,Pashmul village,2,0
2005,65.158015,31.072875,Panjwayi district,1,0
2005,61.862839,30.959629,Zaranj town,2,0
2005,65.04411,33.016315,Baghran district,2,0
2005,64.89578,32.520244,Between Baghran district and Musa Qala district,13,0
2005,69.0566,34.1279,Now Abad Tangi Waghjan village,6,6
2005,69.041565,33.4232,Zurmat district,1,0
2005,70.217529,34.358231,Fateh Abad village,2,0
2005,65.488876,32.969425,Yakhdan village,1,0
2005,68.75,32.416667,Paktika province,1,0
2005,68.06357,32.88363,Ab Band district,1,0
2005,70.076616,33.530101,Bak district,1,0
2005,68.807195,32.89111,Omna district,5,0
2005,68.446963,33.305843,Andar district,1,0
2005,65.912087,32.679049,Tirin Kot district,2,0
2005,68.659797,33.929385,Saydabad district,1,0
2005,68.788611,33.1725,Sharan town,1,1
2005,66.8812,31.9238,Dawgar village,2,0
2005,66.488106,32.156467,Mirani village,1,0
2005,65.964575,31.975153,Wayan mountain,4,0
2005,64.118492,31.521994,Marja town,3,2
2005,69.18,32.941111,Urgun town,1,0
2005,64.211029,31.1308,Garmser town,12,0
2005,67.3747,32.4779,Qara Baghi village,2,0
2005,65.9898,32.5515,Garm Ab village,3,0
